"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Mentoring School-52 weeks mentoring","Write Time, The",chrismurray@thewritetime.org.uk,02086897676,Chrismurray@the-write-time.org,"Education ","16-21, Under 16",,0,86,,,"CR0 2XX","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/93450f60-442f-11ea-9e5f-bb1d9faff3cc/mentoring-school-52-weeks-mentoring
"Mental Health Workshops","Carers Information Service",info@carersinfo.org.uk,,,"Mental Health",,,0,57,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/85f43450-1894-11ed-9270-21850ea88496/mental-health-workshops
"Mental Health Supported Employment  Specialists","Status Employment",info@statusemployment.org.uk,"020 8655 3344",info@statusemployment.org.uk,Disability,"16-21, 21-65",,0,70,,,"CR0 8RA","CR0 8RA",1,https://croydon.simplyconnect.uk/activities/d1114250-0370-11ed-b3d0-a7c326adc718/mental-health-supported-employment-specialists
"Mental Health support group","Mind in Croydon - Carer's Support",carers.support@mindincroydon.org.uk,"0208 7632064",counselling@mindincroydon.org.uk,"Carers ",,,0,62,,,"CR8 2NE","CR0 5LA",1,https://croydon.simplyconnect.uk/activities/79d66e00-3ff1-11ec-9978-a14205252b43/mental-health-support-group
"Mental Health Phone Support","Imagine Independence",croydon@imagineindependence.org.uk,"0151 7092366",kturner@imagineindependen.org.uk,Counselling,,,0,218,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/8147adb0-74e0-11ea-9da0-fd02338f71f2/mental-health-phone-support
"Mental Health Help Line","Oasis Croydon",OASISReferrals@slam.nhs.uk,08007312864,pals@slam.nhs.uk,"Mental Health","16-21, 21-65, 50+, Under 16",,0,485,,,"CR0 2PR","CR0 2PR",1,https://croydon.simplyconnect.uk/activities/92cb94c0-442f-11ea-b860-ffd40adbf125/mental-health-help-line
"Mental Health First Aid","Croydon Mutual Aid",croydoncovid19ma@gmail.com,,MHFA@croydon.gov.uk,,,,0,13,,,,CR0,1,https://croydon.simplyconnect.uk/activities/04ec6da0-9b78-11eb-ac9d-3fcc1ba68d3f/mental-health-first-aid
"Mental Health Carers Support","Carers Information Service",info@carersinfo.org.uk,,,"Mental Health",,,0,76,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/0ac07a70-17cf-11ed-846c-0d6b846595d7/mental-health-carers-support
"Mental Health Awareness Week - Forest therapy walk","Peace in the Park",Info@peaceloveheal.co.uk,07712005769,jane@peaceloveheal.co.uk,"Exercise & Outdoor Activities","21-65, 50+",,0,2,,,"CR0 5RE","CR0 1RW",1,https://croydon.simplyconnect.uk/activities/650c0f80-96fd-11eb-85b7-8790d90ce3c0/mental-health-awareness-week-forest-therapy-walk
"Mental Health and Wellbeing Support in Croydon: For Young people Age 11 to 25 (MH&WB)","Off The Record - Youth Counselling Croydon",croydon@talkofftherecord.org,"0800 980 7475",croydon@talkofftherecord.org,"Mental Health",,,0,115,,,"CR0 2PR","CR0 2PR",1,https://croydon.simplyconnect.uk/activities/ece40010-4973-11ed-bb5a-31285c1631ec/mental-health-and-wellbeing-support-in-croydon-for-young-people-age-11-to-25-mhwb
"Mental Health & Wellbeing: Renew 23 Wellbeing Café (MH)","Purley Baptist Church",office@purleybaptist.org,"020 8668 0422",office@purleybaptist.org,"Mental Health",,,0,78,,,"CR8 3EA","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/3f6dc4e0-60e5-11ed-9be0-d314fb3afa1d/mental-health-wellbeing-renew-23-wellbeing-cafe-mh
"Mental Health & Wellbeing: Affordable Counselling in Croydon, or online (MH&WB)","Floating Counselling",info@floatingcounselling.co.uk,,info@floatingcounselling.co.uk,"Mental Health",,,0,20,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/0f27d560-7a17-11ed-ae28-412cd521d3d6/mental-health-wellbeing-affordable-counselling-in-croydon-or-online-mhwb
"Mental Health & Wellbeing:  Turning lives around through the creative power of Drama!",Roundabout,info@roundaboutdramatherapy.org.uk,"07849 090996",info@roundaboutdramatherapy.org.uk,"Mental Health",,,0,295,,,"SM1 2BP","SM1 2BP",1,https://croydon.simplyconnect.uk/activities/c78f7640-bd43-11ea-b2f1-57545ff659f4/mental-health-wellbeing-turning-lives-around-through-the-creative-power-of-drama
"Mental Health & Wellbeing Support in Croydon: Support, Advice and Self-Care workshops (MH&WB)",WalkwithMeUk,info@walkwithmeuk.co.uk,"07883 654495",info@walkwithmeuk.co.uk,"Mental Health",,,0,66,,,"CR0 3RG","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/92f444f0-4a49-11ed-8526-87caeb94e5aa/mental-health-wellbeing-support-in-croydon-support-advice-and-self-care-workshops-mhwb
"Ment4 Mentoring in Croydon for Young People aged 12 - 17 years",Ment4,info@ment4.org,07752817882,info@ment4.org,"Befriending & Mentoring","16-21, Under 16",,0,122,,,"CR7 7RT","CR7 7RT",1,https://croydon.simplyconnect.uk/activities/758afe80-34a6-11eb-a3a7-c55547244484/ment4-mentoring-in-croydon-for-young-people-aged-12-17-years
"Menopause Support Group","Centre 70",enquiries@centre70.org.uk,,,"Health Improvement & Management",,,0,128,,,"SW16 1DB","SE27 0JD",1,https://croydon.simplyconnect.uk/activities/a05a6150-602e-11ed-a824-bb2d69dd7bc5/menopause-support-group
"Men’s services","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse","16-21, 21-65, 50+",,0,330,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/920b53c0-442f-11ea-8db7-3d7a68d194bc/mens-services
"Men's Walking Football","Palace for Life Foundation",admin@palaceforlife.org,07808323047,enricomontalvo@palaceforlife.org,"Exercise & Outdoor Activities",50+,,0,453,,,"SE25 6PU","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/1b18fed0-b4d9-11eb-a5aa-9fd14866d004/mens-walking-football
"Memory Tree Cafe - Age UK","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,"020 8686 0066",memorytreecafe@ageukcroydon.org.uk,,,,0,106,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/217cdbe0-a6a3-11ec-b1e9-e75a1499c695/memory-tree-cafe-age-uk
"Memory Tree Café","Age UK Croydon",laura.james@ageukcroydon.org.uk,02086860066,memorytreecafe@ageukcroydon.org.uk,"Social Groups, Social Groups",50+,,0,451,,,"CR7 7JH","CR7 7DG",1,https://croydon.simplyconnect.uk/activities/98a01e60-24dd-11eb-b70a-9ffe5d9fb530/memory-tree-cafe
Meetup,"Stroke Action Croydon",strokeactioncroydon@yahoo.co.uk,"020 8688 8132",strokeactioncroydon@yahoo.co.uk,"Social Groups","16-21, 21-65, 50+",,0,106,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/904c7290-442f-11ea-b147-4378601a548f/meetup
"May half term - Kids Wild Adventure Club and a special Really Wild Day - Survival with Suzy","Go Wild With Us UK",gowildcroydon@gmail.com,"07729 769663",gowildcroydon@gmail.com,"Holiday & Respite","Under 16",,0,114,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/c9758aa0-d1e9-11ec-8a11-c181193a7ba0/may-half-term-kids-wild-adventure-club-and-a-special-really-wild-day-survival-with-suzy
"Maximising your Income","South West London Law Centres",enquiries@swllc.org,"020 8767 2777 (9.30am-5pm Mon-Fri)",enquiries@swllc.org,"Financial (debt advice or grants)",,,0,39,,,,"CR0 1QQ",1,https://croydon.simplyconnect.uk/activities/2ae8e710-769d-11eb-b616-b39a044ad00b/maximising-your-income
"Maternal Journal Group - for new parents","Centre 70",enquiries@centre70.org.uk,"020 8670 2775",wellbeing@centre70.org.uk,Families,"16-21, 21-65",,0,119,,,"SE25 6AB","SE27 0JD",1,https://croydon.simplyconnect.uk/activities/bc078d20-5452-11ed-8eb3-dd2e50fddfb8/maternal-journal-group-for-new-parents
"Maternal Journal","Home-Start Croydon",contact@croydon-homestart.co.uk,"020 8667 0207",contact@croydon-homestart.co.uk,Parenting,,,0,213,,,"CR0 1RF","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/7c0efcc0-b1cb-11ec-94b8-b3e44ff2cb95/maternal-journal
"Manga - Purley Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1013",purleylibrary@croydon.gov.uk,"Hobbies & Interests","Under 16",,0,214,,,"CR8 3YH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/8f24b540-442f-11ea-80f0-4344516eec9a/manga-purley-library
"Managing My Computer",ClearCommunityWeb,info@clearcommunityweb.co.uk,"07523 646 277",info@clearcommunityweb.co.uk,"Digital Inclusion",,,0,48,,,"SE20 8BD","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/07d2bdc0-55eb-11ed-9781-23d75d081b6a/managing-my-computer
"Managing My Computer",ClearCommunityWeb,info@clearcommunityweb.co.uk,,,"Education ",,,0,1,,,"SE19 1TQ","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/14427580-8138-11ed-b133-fdbd7fc99378/managing-my-computer
"Macmillan Move More",Enable,healthandwellbeingteam@enablelc.org,"0203 959 0039",swlicb.movemorewandsworth@nhs.net,"Health Improvement & Management","21-65, 50+",,0,65,,,"SW11 4PF","SW11 4PF",1,https://croydon.simplyconnect.uk/activities/067ff130-43e8-11ed-8818-97efd4ae02b4/macmillan-move-more
"M.E.N Hispanic Church","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,07838672024,men-ministry@hotmail.com,"Faith Groups",,,0,97,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/c0875600-a6a7-11ec-8825-91d668a0cf49/men-hispanic-church
"Lunch club/ day centre for Over 65's","Westbury Community Project",westburycomproj@aol.com,+442086648101,westburycomproj@aol.com,"Day Centres",50+,,0,406,,,"CR0 3LF","CR0 3LF",1,https://croydon.simplyconnect.uk/activities/978f0e90-7a67-11ea-9bf7-ff8453d17257/lunch-club-day-centre-for-over-65s
"Lunch Club","Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,"Social Groups",,,0,631,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/8e5795e0-442f-11ea-aa36-03583d91606e/lunch-club
"LUNCH CLUB","Shirley Neighbourhood Care Scheme",sncs@shirleyneighbourhoodcare.co.uk,"0208 662 9599",snca@shirleyneighbourhoodcare.co.uk,"Other - Advice, Support & Self Help",,,0,995,,,"CR0 8EH","CR0 8EH",1,https://croydon.simplyconnect.uk/activities/f1a879d0-727f-11ea-8ff1-4534a1ebbaee/lunch-club
"Low Vision Clinics","Croydon Vision",info@croydonvision.org.uk,"020 86688 2486",info@croydonvision.org.uk,Disability,,,0,424,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/8dbaf880-442f-11ea-a3af-11dc4854eee1/low-vision-clinics
"Love to move seated exercise especially for those with dementia and their carers.","Love to Move",cherrytolcher1@gmail.com,07929670799,cherrytolcher@hotmail.com,"Exercise & Outdoor Activities",50+,,0,110,,,"CR0 5NQ","SW17 9BE",1,https://croydon.simplyconnect.uk/activities/61a1aac0-5c2b-11ec-8952-e9f16fda9427/love-to-move-seated-exercise-especially-for-those-with-dementia-and-their-carers
"love to move elderly dementia friendly seated exercise","Love to Move",cherrytolcher1@gmail.com,07929670799,cherrytolcher@hotmail.com,"Other - Social Groups & Activities",50+,,0,,,,CR05NQ,"SW17 9BE",1,https://croydon.simplyconnect.uk/activities/3772a1a0-5c28-11ec-b0ac-5b145401a275/love-to-move-elderly-dementia-friendly-seated-exercise
"Love to Move - Elderly Dementia Friendly Seated Movement Zoom Classes","Love to Move",cherrytolcher1@gmail.com,,cherrytolcher1@gmail.com,"Exercise & Outdoor Activities",50+,,0,39,,,SW17,"SW17 9BE",1,https://croydon.simplyconnect.uk/activities/2b9b4ce0-66e1-11eb-8d27-85a91df600ae/love-to-move-elderly-dementia-friendly-seated-movement-zoom-classes
"Looprun (Free Food) - RCCG (NECAN)","RCCG The New Creation Assembly For All Nations (NECAN)",rccgnewcreation@btinternet.com,"0208 699 2386/07956871046",rccgnewcreation@btinternet.com,"Neighbourhood & Communities",,,0,805,,,"SE25 4UN","SE25 5UN",1,https://croydon.simplyconnect.uk/activities/8d75fb60-442f-11ea-94e6-a7b695d4b084/looprun-free-food-rccg-necan
"Looking for a Job? Training and Support for 16-24 year olds in Croydon, Sutton, Merton, and Kingston.","NEET Team",SAnderson@cfbt.com,"07759 838 272",cadekoyacharles@twinuk.com,"Employment, Skills & Enterprise ",16-21,,0,55,,,,"CR0 1ND",1,https://croydon.simplyconnect.uk/activities/94efeba0-1d43-11ed-92db-49d59efc1c9a/looking-for-a-job-training-and-support-for-16-24-year-olds-in-croydon-sutton-merton-and-kingston
"London Road Carnival of Cultures","Croydon Voluntary Action",cva@cvalive.org.uk,,,"Youth Social Groups",,,0,93,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/cf6afc10-ee28-11eb-936e-c33a1230b396/london-road-carnival-of-cultures
"London Parkinson's Carers Support Group","Carers Information Service",info@carersinfo.org.uk,"0344 225 3700",tdorman@parkinsons.org.uk,"Carers ",,,0,166,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/5c8990f0-db64-11ec-bbda-33aa0155852a/london-parkinsons-carers-support-group
"London Futures Sutton","The Change Foundation",office@thechangefoundation.org.uk,07824589472,danielmynott@changefdn.org.uk,,16-21,,0,137,,,"SM6 8JQ","SM6 8JQ",1,https://croydon.simplyconnect.uk/activities/c1351800-3886-11eb-9320-17d51f12ea00/london-futures-sutton
"London Futures Bromley","The Change Foundation",office@thechangefoundation.org.uk,"07824 589472",danielmynott@changefdn.org.uk,"Employment, Skills & Enterprise ","16-21, 21-65",,0,322,,,"BR2 9JB","SM6 8JQ",1,https://croydon.simplyconnect.uk/activities/8d220000-442f-11ea-ae3e-cfb6a395a39e/london-futures-bromley
"London Fire Brigade","Carers Information Service",info@carersinfo.org.uk,,,"Safety & Security",,,0,61,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/9fc37ec0-18a1-11ed-924d-f9af9fcafa5b/london-fire-brigade
"Local Police Surgery","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1005",susan.andrew@croydon.gov.uk,"Safety & Security","16-21, 21-65, 50+",,0,220,,,"CR0 3HH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/8cbba160-442f-11ea-9fc1-358398e5d160/local-police-surgery
"Local Community Partnerships in Croydon South-East","Croydon Voluntary Action",cva@cvalive.org.uk,,Kay.rhodes@cvalive.org.uk,"Neighbourhood & Communities",,,0,288,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/1b5c45b0-625b-11ec-a179-b11398a15dff/local-community-partnerships-in-croydon-south-east
"Local Community Partnerships in Croydon North-West","Croydon Voluntary Action",cva@cvalive.org.uk,07581341393,kay.rhodes@cvalive.org.uk,"Neighbourhood & Communities",,,0,213,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/8625ae40-6255-11ec-b0ee-99fdc03833e9/local-community-partnerships-in-croydon-north-west
"Local Community Partnerships in Croydon North-East","Croydon Voluntary Action",cva@cvalive.org.uk,,Kay.rhodes@cvalive.org.uk,"Neighbourhood & Communities",,,0,231,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/47ff23c0-625d-11ec-aca8-53a217ff532c/local-community-partnerships-in-croydon-north-east
"Local Community Partnerships in Croydon Central-West","Croydon Voluntary Action",cva@cvalive.org.uk,,Kay.rhodes@cvalive.org.uk,"Neighbourhood & Communities",,,0,235,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/c84bc5a0-625e-11ec-831a-2711b9bac19e/local-community-partnerships-in-croydon-central-west
"Local Community Partnerships in Croydon Central-East","Croydon Voluntary Action",cva@cvalive.org.uk,,kay.rhodes@cvalive.org.uk,"Neighbourhood & Communities",,,0,252,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/884ff8b0-6260-11ec-9a4e-79ed4fb4aca5/local-community-partnerships-in-croydon-central-east
"Local Community Partnerships in Croydon - South-West","Croydon Voluntary Action",cva@cvalive.org.uk,07581341393,Kay.rhodes@cvalive.org.uk,"Neighbourhood & Communities",,,0,255,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/2adbfa70-6252-11ec-9f4b-b3db511621c2/local-community-partnerships-in-croydon-south-west
"Living Well","Connect Well",simon@livingwellcic.com,"020 3137 3373",simon@livingwellcic.com,"Social Prescribing",,,0,302,,,"W10 6DZ","W10 6DZ",1,https://croydon.simplyconnect.uk/activities/7d7decd0-0ecf-11eb-962a-293c91baad62/living-well
Livewell,"Croydon South West Local Community Partnership",,02086047710,livewell@croydon.gov.uk,"Health Improvement & Management","16-21, 21-65, 50+",,0,202,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/3edb74e0-b4e9-11ec-991e-f59c58a3af00/livewell
"Lives Not Knives Summer Programme","Lives not Knives",livesnotknives@hotmail.com,"020 8681 7206",,"Youth Social Groups",,,0,117,,,"CR0 1TY","CR0 1TY",1,https://croydon.simplyconnect.uk/activities/683d70a0-eadd-11eb-b29b-f139513b4c18/lives-not-knives-summer-programme
"Live Without Fear",DeafHope,deafhope.admin@signhealth.org.uk,"020 8772 3241 / 07970 350366",deafhope@signhealth.org.uk,"Violence & Abuse",,,0,135,,,"SW12 9SJ","SW12 9SJ",1,https://croydon.simplyconnect.uk/activities/8c776730-442f-11ea-bf3d-87e223be8e68/live-without-fear
"Live Well Community Service","Croydon Council -Live Well",livewell@croydon.gov.uk,"0800 019 8570",livewell@croydon.gov.uk,"Health Improvement & Management",,,0,225,,,"CR0 1EA","CR0 1EA",1,https://croydon.simplyconnect.uk/activities/5bdebee0-144d-11eb-a0e3-f3b7db5f15a5/live-well-community-service
"Live Well 12 Week Weight Management Programme","Croydon Council -Live Well",livewell@croydon.gov.uk,"020 8604 7719",rumena.rahman@croydon.gov.uk,"Health Improvement & Management",,,0,288,,,"CRO 1EA","CR0 1EA",1,https://croydon.simplyconnect.uk/activities/bec27940-3497-11eb-8306-0501402f1953/live-well-12-week-weight-management-programme
"Little Wild Things Family Fun","Go Wild With Us UK",gowildcroydon@gmail.com,"07729 769663",gowildcroydon@gmail.com,"Exercise & Outdoor Activities","Under 16",,0,68,,,CR09AA,"CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/52054f70-fc6e-11ec-a00a-bb40d159bc17/little-wild-things-family-fun
"Little Angels Pre-School","Playplace Innov8 CIC",info@playplace.org,"07766 107303",info@playplace.org,"Education ",0-5,,0,185,,,"CR2 9DA","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/8c286da0-442f-11ea-ba43-450165fb0df0/little-angels-pre-school
"LGBTQ+ housing advice & advocacy service",Stonewall,info@stonewall.org.uk,"020 7359 5767",info@stonewall.org.uk,"Housing ",,,0,69,,,"SE1 7NX","SE1 7NX",1,https://croydon.simplyconnect.uk/activities/e15e5710-3980-11ed-9bcc-6db064ad7d08/lgbtq-housing-advice-advocacy-service
"LGBTQ+ Counselling",Metro,hiv@metrocharity.org.uk,"020 8305 5006",hiv@metrocharity.org.uk,Counselling,,,0,15,,,,"SE11 5JH",1,https://croydon.simplyconnect.uk/activities/f64962f0-9782-11eb-a67f-41d11230f702/lgbtq-counselling
"LGBTQ asylum seekers & refugees  support group - Croydon","Rainbows Across Borders",info@rainbowsacrossborders.org.uk,"0208 777 0107",info@rainbowsacrossborders.org.uk,"Befriending & Mentoring",,,0,100,,,"CR0 8DB","CR0 8DB",1,https://croydon.simplyconnect.uk/activities/7466c410-34e0-11ed-bcc4-9f01d041ac2b/lgbtq-asylum-seekers-refugees-support-group-croydon
"LGBT services","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse","16-21, 21-65, 50+",,0,253,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/8b81d590-442f-11ea-995c-6bf9f37c109b/lgbt-services
"Level 2 Award for Teaching Assistants","London Learning Consortium",s.jeffery@londonlc.org.uk,02074980311,tina.stormempowerment@outlook.com,"Employment, Skills & Enterprise ","16-21, 21-65",,0,223,,,"SW11 4LF","CR0 1QG",1,https://croydon.simplyconnect.uk/activities/8b2ac3b0-442f-11ea-97b2-5d7bea4209f2/level-2-award-for-teaching-assistants
"LET’S CELEBRATE  Women’s day","Empowering Tamil Families",yogarani16@gmail.com,,,,,,0,22,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/5ea31d80-80d6-11eb-8139-39711a628f8e/lets-celebrate-womens-day
"Leslie Park Meeting","Croydon Mencap",info@croydonmencap.org.uk,"020 8684 5890",info@croydonmencap.org.uk,"Social Groups",,,0,242,,,"CR0 6TP","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/8ae2c8c0-442f-11ea-95ca-eb8b4e37cde5/leslie-park-meeting
"Leisure Link group for people with  learning disabilities and supporters","Club Soda",info@clubsoda.org.uk,"07988 189 859",evie@gigbuddiescroydon.co.uk,"Other - Social Groups & Activities","16-21, 21-65",,0,217,,,"CR0 1TF","CR0 1UQ",1,https://croydon.simplyconnect.uk/activities/12e702a0-1e99-11eb-9d55-b3fac5736a3d/leisure-link-group-for-people-with-learning-disabilities-and-supporters
"LEGO Club","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"020 3700 1034",croydoncentrallibrary@croydon.gov.uk,"Hobbies & Interests","Under 16",,0,276,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/89de0120-442f-11ea-9137-eb70719e25d8/lego-club
"Legal and Will Advice (Purley Cross Centre)","Purley Cross Community Information Centre",info@purleycrosscentre.org,"0208 668 4189",info@purleycrosscentre.org,"Legal Advice","16-21, 21-65, 50+",,0,313,,,"CR8 3EA","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/8970ffa0-442f-11ea-a222-d7fc86dfba09/legal-and-will-advice-purley-cross-centre
"Legacy reloaded","Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,"020 3976 9990",enquiries@legacyyouthzone.org,"Other - Social Groups & Activities","16-21, Under 16",,0,31,,,"CR0 2LG","CR0 2LG",1,https://croydon.simplyconnect.uk/activities/6763ec20-ee02-11eb-82eb-5542adf49c52/legacy-reloaded
"Learning from Loss Bereavement Support","Carers Information Service",info@carersinfo.org.uk,"020 8649 6280",TanyaFitzgerald@carersinfo.org.uk,"Carers ","16-21, 21-65, 50+",,0,307,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/76a6c040-fd87-11ea-9076-396c663b813c/learning-from-loss-bereavement-support
"Learning Disability Support","Croydon Mencap",info@croydonmencap.org.uk,,info@croydonmencap.org.uk,Wellbeing,"21-65, 50+",,0,601,,,"CR7 7HU","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/5bb28e50-702d-11ea-86a9-ab3bd2bfa12e/learning-disability-support
"Learning disabilities and friendship","Gig Buddies Croydon",Info@gigbuddiescroydon.co.uk,,cherilyn@gigbuddiescroydon.co.uk,"Other - Social Groups & Activities",,,0,564,,,"CR9 1ET","CR0 1TF",1,https://croydon.simplyconnect.uk/activities/dcb6b020-8af5-11ea-b306-9fce68f163d9/learning-disabilities-and-friendship
"Learn Bollywood Dance Moves","Croydon Voluntary Action",cva@cvalive.org.uk,02082531261,cva@cvalive.org.uk,Wellbeing,"21-65, 50+",,0,97,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/9f5aba80-cc55-11ec-b46a-3b651e2aebd4/learn-bollywood-dance-moves
"Launch of tri-Force Autism Alert Card Scheme","Carers Information Service",info@carersinfo.org.uk,,,"Safety & Security",,,0,72,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/d26b4780-189f-11ed-97bc-4f1993ad8d99/launch-of-tri-force-autism-alert-card-scheme
"Laptop Self Care",ClearCommunityWeb,info@clearcommunityweb.co.uk,,,"Education ",,,0,1,,,"SE19 1TQ","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/67d07180-813a-11ed-adea-47583375e2ed/laptop-self-care
"Language Courses","Croydon Adult Learning and Training (CALAT)",Calatenglish&maths@croydon.gov.uk/calat@croydon.gov.uk,"020 8726 7777",languages1@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,210,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/950f0ac0-7912-11ec-aca8-0302a86050cb/language-courses
"L'Danza Dance Academy","Croydon Voluntary Action - Waterside Centre",bookings@cvalive.org.uk,,,"Hobbies & Interests",,,0,42,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/c6745870-667c-11ed-ba7b-cb6074bf06bc/ldanza-dance-academy
"Kurdish language and culture","Kurdish Supplementary Schools",soran393@gmail.com,07788263019,soran393@gmail.com,"Education ","Under 16",,0,141,,,"CR0 2TB",CR02NS,1,https://croydon.simplyconnect.uk/activities/33d3d3d0-22a9-11ec-95b9-c913c31b76ee/kurdish-language-and-culture
"Knit and Stitch - Shirley Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1019",marcina.brown@croydon.gov.uk,"Hobbies & Interests","21-65, 50+",,0,170,,,"CR0 8BH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/8702eb10-442f-11ea-80a1-ab04aae852dc/knit-and-stitch-shirley-library
"Knit and Stitch - Purley","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1013",Dabinder.chaudhri@croydon.gov.uk,"Hobbies & Interests","21-65, 50+",,0,179,,,"CR8 3YH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/86a5ee80-442f-11ea-a4ec-e12d8e3cc41c/knit-and-stitch-purley
"Knit and Stitch - New Addington Centre","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1009",chris.shields@croydon.gov.uk,"Hobbies & Interests","21-65, 50+",,0,160,,,"CR0 0JD","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/86582d70-442f-11ea-a492-3f73cb0c5ba5/knit-and-stitch-new-addington-centre
"Knit and Stitch - Coulsdon Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1007",Fiona.philips@croydon.gov.uk,"Hobbies & Interests","21-65, 50+",,0,174,,,"CR5 2NH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/86031d40-442f-11ea-bc45-55d44f2a94b2/knit-and-stitch-coulsdon-library
"Knit and Stitch - Ashburton Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"020 3700 1001",Cathryn.hartt@croydon.gov.uk,"Hobbies & Interests","16-21, 21-65, 50+",,1,2020,,,"CR9 7AL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/85978380-442f-11ea-b331-4beefa5b2d4a/knit-and-stitch-ashburton-library
"Knit and Natter - Thornton Heath Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1023",anne.pereira@croydon.gov.uk,"Hobbies & Interests","21-65, 50+",,0,155,,,"CR7 7JB","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/853dfbe0-442f-11ea-a93a-71f3c700e446/knit-and-natter-thornton-heath-library
