Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
London Parkinson's Carers Support Group,Carers Information Service,info@carersinfo.org.uk,0344 225 3700,tdorman@parkinsons.org.uk,Carers ,,,0,232,,,CR0 1PB,CR0 1PB,1,06/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/5c8990f0-db64-11ec-bbda-33aa0155852a/london-parkinsons-carers-support-group
London Fire Brigade,Carers Information Service,info@carersinfo.org.uk,,,Safety & Security,,,0,107,,,CR0 1PB,CR0 1PB,1,08/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/9fc37ec0-18a1-11ed-924d-f9af9fcafa5b/london-fire-brigade
Local Police Surgery,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1005,susan.andrew@croydon.gov.uk,Safety & Security,"16-21, 21-65, 50+",,0,262,,,CR0 3HH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/8cbba160-442f-11ea-9fc1-358398e5d160/local-police-surgery
Local Exercise Groups for Stroke & Neurological conditions (LEGS) Physio Groups,Local Exercise groups for stroke & neurological conditions,info@legs.org.uk,4.47E+11,info@legs.org.uk,Fitness Classes,,,0,,,,E15 4HF,E15 4HF,1,02/01/2023 00:00,,https://croydon.simplyconnect.uk/activities/a0b9f6b0-9bd7-11ed-95c0-dbdadc7d3586/local-exercise-groups-for-stroke-neurological-conditions-legs-physio-groups
Local Exercise Groups for Stroke & Neurological conditions (LEGS) Physio Groups,Local Exercise groups for stroke & neurological conditions,info@legs.org.uk,4.47E+11,info@legs.org.uk,Fitness Classes,,,0,,,,E15 4HF,E15 4HF,1,3/15/2020 0:00,,https://croydon.simplyconnect.uk/activities/a90e6d60-9bda-11ed-8c48-a9fff72cd6aa/local-exercise-groups-for-stroke-neurological-conditions-legs-physio-groups
Living Well,Connect Well,simon@livingwellcic.com,020 3137 3373,simon@livingwellcic.com,Social Prescribing,,,0,338,,,W10 6DZ,W10 6DZ,1,10/15/2020 0:00,,https://croydon.simplyconnect.uk/activities/7d7decd0-0ecf-11eb-962a-293c91baad62/living-well
Livewell,Croydon South West Local Community Partnership,,2086047710,livewell@croydon.gov.uk,Health Improvement & Management,"16-21, 21-65, 50+",,0,327,,,,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/3edb74e0-b4e9-11ec-991e-f59c58a3af00/livewell
Live Without Fear,DeafHope,deafhope.admin@signhealth.org.uk,020 8772 3241 / 07970 350366,deafhope@signhealth.org.uk,Violence & Abuse,,,0,143,,,SW12 9SJ,SW12 9SJ,1,,,https://croydon.simplyconnect.uk/activities/8c776730-442f-11ea-bf3d-87e223be8e68/live-without-fear
Live Well Community Service,Croydon Council -Live Well,livewell@croydon.gov.uk,0800 019 8570,livewell@croydon.gov.uk,Health Improvement & Management,,,0,281,,,CR0 1EA,CR0 1EA,1,10/22/2020 0:00,,https://croydon.simplyconnect.uk/activities/5bdebee0-144d-11eb-a0e3-f3b7db5f15a5/live-well-community-service
Live Well 12 Week Weight Management Programme,Croydon Council -Live Well,livewell@croydon.gov.uk,020 8604 7719,rumena.rahman@croydon.gov.uk,Health Improvement & Management,,,0,352,,,CRO 1EA,CR0 1EA,1,12/02/2020 00:00,,https://croydon.simplyconnect.uk/activities/bec27940-3497-11eb-8306-0501402f1953/live-well-12-week-weight-management-programme
Little Angels Pre-School,Playplace Innov8 CIC,info@playplace.org,07766 107303,info@playplace.org,Education ,0-5,,0,208,,,CR2 9DA,CR0 9EP,1,,,https://croydon.simplyconnect.uk/activities/8c286da0-442f-11ea-ba43-450165fb0df0/little-angels-pre-school
LGBTQ+ housing advice & advocacy service,Stonewall,info@stonewall.org.uk,020 7359 5767,info@stonewall.org.uk,Housing ,,,0,89,,,SE1 7NX,SE1 7NX,1,9/21/2022 0:00,,https://croydon.simplyconnect.uk/activities/e15e5710-3980-11ed-9bcc-6db064ad7d08/lgbtq-housing-advice-advocacy-service
LGBTQ asylum seekers & refugees  support group - Croydon,Rainbows Across Borders,info@rainbowsacrossborders.org.uk,0208 777 0107,info@rainbowsacrossborders.org.uk,Befriending & Mentoring,,,0,153,,,CR0 8DB,CR0 8DB,1,9/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/7466c410-34e0-11ed-bcc4-9f01d041ac2b/lgbtq-asylum-seekers-refugees-support-group-croydon
LGBT services,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"16-21, 21-65, 50+",,0,286,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/8b81d590-442f-11ea-995c-6bf9f37c109b/lgbt-services
Level 2 Award for Teaching Assistants,London Learning Consortium,s.jeffery@londonlc.org.uk,2074980311,tina.stormempowerment@outlook.com,"Employment, Skills & Enterprise ","16-21, 21-65",,0,262,,,SW11 4LF,CR0 1QG,1,,,https://croydon.simplyconnect.uk/activities/8b2ac3b0-442f-11ea-97b2-5d7bea4209f2/level-2-award-for-teaching-assistants
Leslie Park Meeting,Croydon Mencap,info@croydonmencap.org.uk,020 8684 5890,info@croydonmencap.org.uk,Social Groups,,,0,279,,,CR0 6TP,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/8ae2c8c0-442f-11ea-95ca-eb8b4e37cde5/leslie-park-meeting
Leisure Link group for people with  learning disabilities and supporters,Club Soda,info@clubsoda.org.uk,07988 189 859,evie@gigbuddiescroydon.co.uk,Other - Social Groups & Activities,"16-21, 21-65",,0,257,,,CR0 1TF,CR0 1UQ,1,10/20/2021 0:00,,https://croydon.simplyconnect.uk/activities/12e702a0-1e99-11eb-9d55-b3fac5736a3d/leisure-link-group-for-people-with-learning-disabilities-and-supporters
LEGO Club,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 3700 1034,croydoncentrallibrary@croydon.gov.uk,Hobbies & Interests,Under 16,,0,378,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/89de0120-442f-11ea-9137-eb70719e25d8/lego-club
Legal and Will Advice (Purley Cross Centre),Purley Cross Community Information Centre,info@purleycrosscentre.org,0208 668 4189,info@purleycrosscentre.org,Legal Advice,"16-21, 21-65, 50+",,0,363,,,CR8 3EA,CR8 3EA,1,10/15/2021 0:00,,https://croydon.simplyconnect.uk/activities/8970ffa0-442f-11ea-a222-d7fc86dfba09/legal-and-will-advice-purley-cross-centre
Learning disabilities and friendship,Gig Buddies Croydon,Info@gigbuddiescroydon.co.uk,,cherilyn@gigbuddiescroydon.co.uk,Other - Social Groups & Activities,,,0,671,,,CR9 1ET,CR0 1UQ,1,4/30/2020 0:00,,https://croydon.simplyconnect.uk/activities/dcb6b020-8af5-11ea-b306-9fce68f163d9/learning-disabilities-and-friendship
Learn Bollywood Dance Moves,Croydon Voluntary Action,cva@cvalive.org.uk,2082531261,cva@cvalive.org.uk,Wellbeing,"21-65, 50+",,0,156,,,CR0 1TY,CR0 2TB,1,05/09/2022 00:00,,https://croydon.simplyconnect.uk/activities/9f5aba80-cc55-11ec-b46a-3b651e2aebd4/learn-bollywood-dance-moves
Launch of tri-Force Autism Alert Card Scheme,Carers Information Service,info@carersinfo.org.uk,,,Safety & Security,,,0,113,,,CR0 1PB,CR0 1PB,1,08/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/d26b4780-189f-11ed-97bc-4f1993ad8d99/launch-of-tri-force-autism-alert-card-scheme
Laptop Self Care,ClearCommunityWeb,info@clearcommunityweb.co.uk,,,Education ,,,0,63,,,SE19 1TQ,SE19 2TF,1,12/21/2022 0:00,04/05/2023 00:00,https://croydon.simplyconnect.uk/activities/67d07180-813a-11ed-adea-47583375e2ed/laptop-self-care
L'Danza Dance Academy,Croydon Voluntary Action - Waterside Centre,bookings@cvalive.org.uk,,,Hobbies & Interests,,,0,110,,,SE25 4DX,SE25 4DX,1,11/17/2022 0:00,,https://croydon.simplyconnect.uk/activities/c6745870-667c-11ed-ba7b-cb6074bf06bc/ldanza-dance-academy
Kurdish language and culture,Kurdish Supplementary Schools,soran393@gmail.com,7788263019,soran393@gmail.com,Education ,Under 16,,0,180,,,CR0 2TB,CR02NS,1,10/02/2021 00:00,,https://croydon.simplyconnect.uk/activities/33d3d3d0-22a9-11ec-95b9-c913c31b76ee/kurdish-language-and-culture
Knit and Stitch - Shirley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1019,marcina.brown@croydon.gov.uk,Hobbies & Interests,"21-65, 50+",,0,209,,,CR0 8BH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/8702eb10-442f-11ea-80a1-ab04aae852dc/knit-and-stitch-shirley-library
Knit and Stitch - Purley,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1013,Dabinder.chaudhri@croydon.gov.uk,Hobbies & Interests,"21-65, 50+",,0,227,,,CR8 3YH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/86a5ee80-442f-11ea-a4ec-e12d8e3cc41c/knit-and-stitch-purley
Knit and Stitch - New Addington Centre,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1009,chris.shields@croydon.gov.uk,Hobbies & Interests,"21-65, 50+",,0,212,,,CR0 0JD,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/86582d70-442f-11ea-a492-3f73cb0c5ba5/knit-and-stitch-new-addington-centre
Knit and Stitch - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,Fiona.philips@croydon.gov.uk,Hobbies & Interests,"21-65, 50+",,0,231,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/86031d40-442f-11ea-bc45-55d44f2a94b2/knit-and-stitch-coulsdon-library
Knit and Stitch - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 3700 1001,Cathryn.hartt@croydon.gov.uk,Hobbies & Interests,"16-21, 21-65, 50+",,1,2125,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/85978380-442f-11ea-b331-4beefa5b2d4a/knit-and-stitch-ashburton-library
Knit and Natter - Thornton Heath Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1023,anne.pereira@croydon.gov.uk,Hobbies & Interests,"21-65, 50+",,0,202,,,CR7 7JB,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/853dfbe0-442f-11ea-a93a-71f3c700e446/knit-and-natter-thornton-heath-library
Knit and Natter - Sanderstead Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1015,Bruno.ouvrard@croydon.gov.uk,Hobbies & Interests,"21-65, 50+",,0,306,,,CR2 0HL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/84eb6fd0-442f-11ea-b4f6-75cab1f2864e/knit-and-natter-sanderstead-library
Knit and Natter - Bradmore Green,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1034 or 0203 700 1038,susan.andrew@croydon.gov.uk,Hobbies & Interests,"16-21, 21-65, 50+",,0,241,,,CR5 1PE,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/848b0f10-442f-11ea-8f23-afa0e1d93c65/knit-and-natter-bradmore-green
Kidz Club,St Francis Monks Hill,revpeterw@googlemail.com,020 8657 7864,stfrancisselsdon@gmail.com,Faith Groups,"0-5, Under 16",,0,163,,,CR2 8AH,CR2 8AH,1,,,https://croydon.simplyconnect.uk/activities/83ceba60-442f-11ea-9538-f56ada38779f/kidz-club
Kids Judo Classes,Croydon Judo Club,,020 8656 5888,enquiries@croydonjudo.com,Exercise & Outdoor Activities,"16-21, Under 16",,0,878,,,CR0 6EA,CR0 6EA,1,,,https://croydon.simplyconnect.uk/activities/8379e430-442f-11ea-b7dc-9309f5ecb8d8/kids-judo-classes
Kicks SNR Football,Palace for Life Foundation,admin@palaceforlife.org,7801593789,admin@palaceforlife.org,Exercise & Outdoor Activities,,,0,,,,SE25 6TG,SE25 6PU,1,09/03/2021 00:00,,https://croydon.simplyconnect.uk/activities/43781c40-21f5-11ec-8dd7-6b7fcff96384/kicks-snr-football
Kicks Selhurst SNRs Football,Palace for Life Foundation,admin@palaceforlife.org,7801593789,admin@palaceforlife.org,Exercise & Outdoor Activities,,,0,,,,SE25 5PH,SE25 6PU,1,09/02/2021 00:00,,https://croydon.simplyconnect.uk/activities/60dc7ec0-21f4-11ec-9d95-8d8d6f39f23a/kicks-selhurst-snrs-football
Kicks Selhurst JNRs Football,Palace for Life Foundation,admin@palaceforlife.org,7801593789,admin@palaceforlife.org,Exercise & Outdoor Activities,,,0,,,,SE25 5PH,SE25 6PU,1,09/06/2021 00:00,,https://croydon.simplyconnect.uk/activities/df935c20-21f5-11ec-987a-1dc0d66dd07c/kicks-selhurst-jnrs-football
Kicks Girls Selhurst Football,Palace for Life Foundation,admin@palaceforlife.org,7801593789,admin@palaceforlife.org,,,,0,,,,SE25 5PH,SE25 6PU,1,09/06/2021 00:00,,https://croydon.simplyconnect.uk/activities/57a21a30-25cc-11ec-b2ea-6f0321696848/kicks-girls-selhurst-football
Kenley Community Advisory Group,Croydon South West Local Community Partnership,,0208 668 6260,foodstop@ollbc.org.uk,Legal Advice,,,0,247,,,CR0 1EA,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/6f9862b0-b4e6-11ec-a19a-2526fe9645e8/kenley-community-advisory-group
Keeping Fit and Healthy Living,APASEN - Croydon Opportunity Zone,mohammed.amin@apasen.org.uk,020 8689 6617,info.croydon@apasen.org.uk,Exercise & Outdoor Activities,"16-21, 21-65, 50+",,0,253,,,CR7 7JY,CR7 7JY,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/9c020ba0-1386-11eb-8a5a-5385cc868015/keeping-fit-and-healthy-living
Keepfit4Christ Sports Club,Croydon Voluntary Action - Waterside Centre,bookings@cvalive.org.uk,,,Sports Clubs,,,0,52,,,SE25 4DX,SE25 4DX,1,11/23/2022 0:00,,https://croydon.simplyconnect.uk/activities/60851fa0-6b26-11ed-86dd-9d7de319ee56/keepfit4christ-sports-club
Keep Fit for Older people,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,office@emmanuelcroydon.org.uk,Fitness Classes,50+,,0,79,,,CR2 7AQ,CR2 7AF,1,11/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/76f19210-5d11-11ed-8a4e-0fdd56c3c801/keep-fit-for-older-people
Keep Fit,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Exercise & Outdoor Activities,"21-65, 50+",,0,447,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/82e95ef0-442f-11ea-88bf-8710d6a56745/keep-fit
Junior Your Space Youth Group,Duffus Community Foundation (DCF),info@duffusfoundation.org,7856482888,helen@duffusfoundation.org,Youth Social Groups,Under 16,,0,136,,,CR0 2TB,CR0 2TB,1,04/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/003123a0-9e0e-11ec-966d-47f42042bba5/junior-your-space-youth-group
Junior Timetable,"Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,020 3976 9990,enquiries@legacyyouthzone.org,Youth Social Groups,"16-21, Under 16",,0,272,,,CR0 2LG,CR0 2LG,1,04/07/2019 00:00,,https://croydon.simplyconnect.uk/activities/b3fd2140-84e6-11ec-9fb6-7175aeb988a6/junior-timetable
Junior Timetable,My Ends Partnership,Shalina.Alabaksh@cvalive.org.uk,,enquries@legacyyouthzone.org,Youth Social Groups,Under 16,,0,226,,,CR0 2LG,CR0 2TB,1,07/04/2019 00:00,,https://croydon.simplyconnect.uk/activities/e47877c0-8a67-11ec-8453-d1df4defae2a/junior-timetable
Junior Church,Christ Church Methodist Addiscombe,enquiries@christchurchmeth.org.uk,,enquiries@christchurchmeth.org.uk,Faith Groups,Under 16,,0,395,,,CR0 6AD,CR0 6AD,1,2/23/2020 0:00,,https://croydon.simplyconnect.uk/activities/afe21ab0-58a3-11ea-b71d-23059d8afeb7/junior-church
Judo Classes- Seniors,New Addington Judo Club,addingtonjudoclub@yahoo.co.uk,,addingtonjudoclub@yahoo.co.uk,Exercise & Outdoor Activities,"16-21, 21-65",,0,218,,,CR0 0JB,CR0 0DF,1,2/18/2020 0:00,,https://croydon.simplyconnect.uk/activities/ce8e9b30-5325-11ea-a6ae-71a02b8ee3f6/judo-classes-seniors
Judo Classes- Juniors,New Addington Judo Club,addingtonjudoclub@yahoo.co.uk,,addingtonjudoclub@yahoo.co.uk,Exercise & Outdoor Activities,Under 16,,0,261,,,CR0 0DF,CR0 0DF,1,2/18/2020 0:00,,https://croydon.simplyconnect.uk/activities/08ae2fd0-5325-11ea-92c6-8d2d961cca8c/judo-classes-juniors
Jolly Joggers,Mind in Croydon (Active Minds),activeminds@mindincroydon.org.uk,0208 2538205,activeminds@mindincroydon.org.uk,Exercise & Outdoor Activities,,,0,88,,,CR2 6EZ,CR2 6EZ,1,10/06/2022 00:00,,https://croydon.simplyconnect.uk/activities/cd387e80-4568-11ed-8bb1-efe5ce097f6f/jolly-joggers
Join Our Lego Club - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,Fiona.philips@croydon.gov.uk,Education ,Under 16,,1,229,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/80ca6b60-442f-11ea-a57f-e50363a1f21e/join-our-lego-club-coulsdon-library
Join Our Crest Club - Croydon Central Children's Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1034 or 0203 700 1038,croydoncentrallibrary@croydon.gov.uk,Education ,Under 16,,0,239,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/807fbc30-442f-11ea-a9d5-cb47d6f9fe64/join-our-crest-club-croydon-central-childrens-library
Join Our Crest Club - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1001,ashburtonlibrary@croydon.gov.uk,Education ,Under 16,,0,4084,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/803ac560-442f-11ea-bbe4-17da0e92d685/join-our-crest-club-ashburton-library
Join Our Code Club - Central Children's Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1034 or 0203 700 1038,croydoncentrallibrary@croydon.gov.uk,Education ,Under 16,,0,209,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7ff62bc0-442f-11ea-805b-6d11d05892e8/join-our-code-club-central-childrens-library
Join Our Code Club - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1001,ashburtonlibrary@croydon.gov.uk,Education ,Under 16,,0,208,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7fb08770-442f-11ea-a18c-19f3f76e1034/join-our-code-club-ashburton-library
Job Support for Young People,Prince's Trust,,,,"Other - Advice, Support & Self Help",,,0,447,,,SE1 8EG,SE1 8EG,1,3/27/2020 0:00,,https://croydon.simplyconnect.uk/activities/fcf39320-7034-11ea-b5bf-ddc83d8674ed/job-support-for-young-people
JAGS Foundation,JAGS Foundation,admin@jagsfoundation.org,0208 663 5636,admin@jagsfoundation.org,Advocacy,"16-21, Under 16",,0,123,,,CR0 1PB,CR0 1PB,1,12/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/80dabeb0-558d-11eb-97c1-290fd1a763ad/jags-foundation
It's our turn,Thai Boxing Community Centre,thaiboxingcommunity@gmail.com,+44 7552 162638,thaiboxingcommunity@gmail.com,Sports Clubs,,,0,121,,,CR0 2DA,CR0 2DA,1,8/24/2022 0:00,,https://croydon.simplyconnect.uk/activities/82d44ec0-23a2-11ed-b5fb-71f35e6154be/its-our-turn
IT taster sessions - Thornton Heath Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1023,anne.pereira@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,212,,,CR7 7JB,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7eff9880-442f-11ea-b50d-fbd6f4185a23/it-taster-sessions-thornton-heath-library
IT taster sessions - South Norwood LIbrary,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1021,jane.copper@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,172,,,SE25 5AA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7ea4dcc0-442f-11ea-b94a-d7c52002bb8b/it-taster-sessions-south-norwood-library
IT Taster Sessions - New Addington Centre,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1009,chris.shields@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,186,,,CR0 0JD,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7e4505c0-442f-11ea-8c2d-5b631b832b42/it-taster-sessions-new-addington-centre
IT Taster Sessions - Bradmore Green Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1003,Anthony.saridakis@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,201,,,CR5 1PE,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7dedf680-442f-11ea-a159-0b08943648fd/it-taster-sessions-bradmore-green-library
IT Support Sessions - Norbury Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1011,liz.hollowood@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,221,,,SW16 4UW,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7d933c20-442f-11ea-b925-9d1840c4b9f6/it-support-sessions-norbury-library
IT Sessions - Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,Fiona.philips@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,181,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/7cfe1800-442f-11ea-a977-cfb9f6e68cff/it-sessions-coulsdon-library
Introduction to Railway Programme,London Skills and Development Network,info@lsdn.org.uk,020 3784 1294 / 07767122541,info@lsdn.org.uk,Education ,,,0,422,,,CR0 0YN,CR0 0YN,1,,,https://croydon.simplyconnect.uk/activities/7cc1c930-442f-11ea-9c73-3fcafb05e580/introduction-to-railway-programme
Integrative Counselling Session,Care to Listen,enquiries@caretolisten.co.uk,2086162160,enquiries@caretolisten.co.uk,Counselling,"16-21, 21-65, 50+",,0,172,,,CR0 6AN,CR0 6AN,1,,,https://croydon.simplyconnect.uk/activities/b48ef760-bf53-11ea-8077-0fbf1e80fb0a/integrative-counselling-session
Information Support,Home-Start Croydon,contact@croydon-homestart.co.uk,2086670207,contact@croydon-homestart.co.uk,Parenting,"16-21, 21-65",,0,544,,,CR0 1RF,CR0 1RF,1,,,https://croydon.simplyconnect.uk/activities/7b68c690-442f-11ea-87e1-3725286096af/information-support
Information and Advice Service,deafPLUS,info@deafplus.org,7708514247,sue.brown@deafplus.org,General Advice & Info,"16-21, 21-65, 50+",,0,428,,,CR0 1EA,E1 4HG,1,,,https://croydon.simplyconnect.uk/activities/7b1476a0-442f-11ea-85f4-a171939dba87/information-and-advice-service
Information and Advice for Carers,Carers Support Centre,info@carersinfo.org.uk,020 8649 9339,amydeakin@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,190,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/7abdd4a0-442f-11ea-94bb-3b6a6e74ec62/information-and-advice-for-carers
Independent School,"Write Time, The",chrismurray@thewritetime.org.uk,2086897676,Chrismurray@the-write-time.org,Education ,"16-21, Under 16",,0,105,,,CR0 2XX,CR0 2XX,1,,,https://croydon.simplyconnect.uk/activities/7a2c87c0-442f-11ea-b303-afd770ff4079/independent-school
Inclusive Online Activities,Inclusive Online Activities,admin@inclusiveonlineactivities.com,7939573211,admin@inclusiveonlineactivities.com,Other - Social Groups & Activities,"16-21, 21-65, 50+",,0,40,,,CR2 0NL,CR2 0NL,1,03/02/2023 00:00,12/31/2027 0:00,https://croydon.simplyconnect.uk/activities/7a2658d0-b8ee-11ed-9801-e3e594be88ac/inclusive-online-activities
Inclusion Timetable,"Legacy, Croydon Youth Zone",enquiries@legacyyouthzone.org,020 3976 9990,enquiries@legacyyouthzone.org,Youth Social Groups,"16-21, Under 16",,0,227,,,CR0 2LG,CR0 2LG,1,07/04/2019 00:00,,https://croydon.simplyconnect.uk/activities/9d263030-8a5f-11ec-a016-b5d2b9f4ee54/inclusion-timetable
Inclusion Timetable,My Ends Partnership,Shalina.Alabaksh@cvalive.org.uk,2039769990,enquries@legacyyouthzone.org,Youth Social Groups,"16-21, Under 16",,0,280,,,CR0 2LG,CR0 2TB,1,07/04/2019 00:00,,https://croydon.simplyconnect.uk/activities/76a34a60-8a69-11ec-9f39-1112af6c7343/inclusion-timetable
Inaspectrum,Carers Support Centre,info@carersinfo.org.uk,07900 990 292,inaspectrum@hotmail.com,Carers ,,,0,259,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/79ea2860-442f-11ea-9059-7fe20879978b/inaspectrum
Immigration and Asylum,South West London Law Centres,enquiries@swllc.org,2087672777,nicoletta.crivellaro@swllc.org,Legal Advice,"16-21, 21-65, 50+",,0,412,,,CR0 1QQ,CR0 1QQ,1,,,https://croydon.simplyconnect.uk/activities/79971520-442f-11ea-9df5-25178493526e/immigration-and-asylum
Hygiene Bank  - New Addington,Family Centre Fieldway,familycentre.fieldway@virgin.net,01689 844277,thbnewaddington@gmail.com,Fundraising,,,0,131,,,CR0 9AZ,CR0 9AZ,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/ab5aa2e0-9d8a-11ed-a706-1dbde72d658f/hygiene-bank-new-addington
How you could run a regular event in your community around sustainability,Sustainable Thornton Heath,sustainablethorntonheat@gmail.com,,sustainablethorntonheat@gmail.com,General Advice & Info,"21-65, 50+",,0,90,,,CR7 8QQ,CR7 8QQ,1,8/30/2022 0:00,,https://croydon.simplyconnect.uk/activities/5e1d45e0-2467-11ed-bd19-859327fe296a/how-you-could-run-a-regular-event-in-your-community-around-sustainability
Housing Court Duty Scheme,South West London Law Centres,enquiries@swllc.org,208762777,nicoletta.crivellaro@swllc.org,Housing ,"16-21, 21-65, 50+",,0,549,,,CR0 1QQ,CR0 1QQ,1,,,https://croydon.simplyconnect.uk/activities/75830910-7eac-11ea-b21a-25d908358723/housing-court-duty-scheme
Housing Advice for Young People aged 16 - 21,CAYSH,info@caysh.org,0208 760 5530,diz@caysh.org,Housing ,16-21,,0,365,,,CR0 1BF,CR0 1QG,1,10/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/ca5936b0-0306-11eb-ba65-452b13066bc8/housing-advice-for-young-people-aged-16-21
Housing (H),South West London Law Centres,enquiries@swllc.org,020 8767 2777,nicoletta.crivellaro@swllc.org,Housing ,,,0,197,,,CR0 1QQ,CR0 1QQ,1,07/04/2021 00:00,,https://croydon.simplyconnect.uk/activities/b1e66450-7d29-11ec-9a2b-4d81474ba9f2/housing-h
Hour of Power,"Elim Pentecostal Church, Croydon",info@elimpentecostal.org.uk,208 665 5370,office@elimpentecostal.org.uk,Faith Groups,"16-21, 21-65, 50+, Under 16",,0,323,,,CR0 3QA,CR0 3QA,1,,,https://croydon.simplyconnect.uk/activities/789dc1e0-442f-11ea-9693-bdabd5885e99/hour-of-power
